tcp_id,date,OK,ERROR,author,title
A69225,1633,1,66,"Donne, John, 1572-1631.","Poems, by J.D. VVith elegies on the authors death"
A18697,1545,1,13,"Kele, Richard, d. 1552.",Christmas carolles newely inprynted
A68114,1638,1,8,"T. G., fl. 1638.",The tragedy of Selimus Emperour of the Turkes. Written T.G.
A41373,1698,1,3,"Hortolanus, junior.","The golden age, or, The reign of Saturn review'd tending to set forth a true and natural way to prepare and fix common mercury into silver and gold : intermix'd with a discourse vindicating and explaining that famous universal medicine of the ancients, vulgarly called the philosophers stone, built upon four natural principles / an essay written by Hortolanus, junr. ; preserved and published by R.G."
A57956,1683,1,2,"Rust, George, d. 1670.","A discourse of the use of reason in matters of religion shewing that Christianity contains nothing repugnant to right reason, against enthusiasts and deists / written in Latin by the Reverend Dr. Rust ; and translated into English, with annotations upon it by Hen. Hallywell."
A06962,1596,1,1,"Markham, Gervase, 1568?-1637.","The poem of poems. Or, Sions muse contayning the diuine song of King Salomon, deuided into eight eclogues."
A68283,1606,1,1,"Barnes, Barnabe, 1569?-1609.",Foure bookes of offices enabling privat persons for the speciall seruice of all good princes and policies. Made and deuised by Barnabe Barnes.
A27214,1665,1,1,"Beaumont, Joseph, 1616-1699.",Some observations upon the apologie of Dr. Henry More for his mystery of godliness by J. Beaumont ...
A52689,1691,1,1,N. N.,"The blatant beast muzzl'd, or, Reflexions on a late libel entituled, The secret history of the reigns of K. Charles II and K. James II"
A03144,1631,1,1,"Heylyn, Peter, 1600-1662.","The historie of that most famous saint and souldier of Christ Iesus; St. George of Cappadocia asserted from the fictions, in the middle ages of the Church; and opposition, of the present. The institution of the most noble Order of St. George, named the Garter. A catalogue of all the knights thereof untill this present. By Pet. Heylyn."
A02277,1604,1,0,"Grymeston, Elizabeth.",Miscelanea. Meditations. Memoratiues. By Elizabeth Grymeston.
A34639,1679,1,0,"Cotton, Charles, 1630-1687.","The confinement a poem, with annotations."
A51787,1697,1,0,"Manlove, Timothy, d. 1699.","The immortality of the soul asserted, and practically improved shewing by Scripture, reason, and the testimony of the ancient philosophers, that the soul of man is capable of subsisting and acting in a state of separation from the body, and how much it concerns us all to prepare for that state : with some reflections on a pretended refutation of Mr. Bently's sermon / by Timothy Manlove."
A33311,1657,1,0,"Clarke, Samuel, 1599-1682.","A geographicall description of all the countries in the known vvorld as also of the greatest and famousest cities and fabricks which have been, or are now remaining : together with the greatest rivers, the strangest fountains, the various minerals, stones, trees ... which are to be found in every country : unto which is added, a description of the rarest beasts, fowls ... which are least known amongst us / collected out of the most approved authors ... by Sa. Clarke ..."
A01224,1588,1,0,"Fraunce, Abraham, fl. 1587-1633.","The Arcadian rhetorike: or The præcepts of rhetorike made plaine by examples Greeke, Latin, English, Italian, French, Spanish, out of Homers Ilias, and Odissea, Virgils Aeglogs, [...] and Aeneis, Sir Philip Sydnieis Arcadia, songs and sonets [...] By A. Fraunce."
B21478,1681,1,0,"D'Urfey, Thomas, 1653-1723.","Sir Barnaby Whigg, or, No wit like a womans a comedy : as it is acted by Their Majesties servants at the Theatre-Royal / written by Thomas Durfey, Gent."
A61365,1674,1,0,"Stanley, William, 1647-1731.","The Roman horseleech, or An impartial account of the intolerable charge of popery to this nation ... to which is annexed an essay of the supremacy of the King of England."
A19628,1615,1,0,"Crooke, Helkiah, 1576-1635.","Mikrokosmographia a description of the body of man. Together vvith the controuersies thereto belonging. Collected and translated out of all the best authors of anatomy, especially out of Gasper Bauhinus and Andreas Laurentius. By Helkiah Crooke Doctor of Physicke, physitian to His Maiestie, and his Highnesse professor in anatomy and chyrurgerie. Published by the Kings Maiesties especiall direction and warrant according to the first integrity, as it was originally written by the author."
A11954,1623,0,331,"Shakespeare, William, 1564-1616.","Mr. VVilliam Shakespeares comedies, histories, & tragedies Published according to the true originall copies."
A36182,1683,0,250,"Dixon, Robert, d. 1688.","Canidia, or, The witches a rhapsody, in five parts / by R.D."
A18231,1476,0,142,"Cato, Marcus Porcius, 234-149 B.C., attributed name.",Hic incipit paruus Catho
A19907,1612,0,121,"Davies, John, 1565?-1618.",The muses sacrifice
A08298,1603,0,102,"Norden, John, 1548-1625?","A pensiue soules delight The contents whereof, is shewen in these verses following. I. The pensiue soule recounteth in this place, Elizaes troubles, and Elizaes grace. 2. Here are expressed the stratagems of foes, Elizaes conquests, and their falls that rose. 3. Here is set forth Elizaes lenitie, and locust-Catholickes superbitie. By Iohn Norden."
A18417,1595,0,102,"Chapman, George, 1559?-1634.","Ouids banquet of sence A coronet for his mistresse philosophie, and his amorous zodiacke. VVith a translation of a Latine coppie, written by a fryer, anno Dom. 1400."
A18722,1593,0,98,"Churchyard, Thomas, 1520?-1604.",Churchyards challenge
A68624,1639,0,96,"Quarles, Francis, 1592-1644.",Emblemes by Fra: Quarles
A62418,1684,0,89,"Thompson, Nathaniel, d. 1687.","A choice collection of 120 loyal songs, all of them written since the two late plots, (viz.) the horrid Salamanca Plot in 1678, and the fanatical conspiracy in 1683. Intermixt with some new love songs with a table to find every song to which is added, an anagram, and an accrostick on the Salamanca doctor"
A01998,1532,0,80,"Gower, John, 1325?-1408.",Io. Gower de confessione amantis
A56969,1643,0,73,"Quarles, Francis, 1592-1644.",Emblemes by Francis Quarles.
A72473,1641,0,70,"Jonson, Ben, 1573?-1637.","The vvorkes of Beniamin Ionson. The second volume. Containing these playes, viz. 1 Bartholomew Fayre. 2 The staple of newes. 3 The Divell is an asse"
B02468,1685,0,67,"Crasset, Jean, 1618-1692.","A new form of meditations for every day in the year. Written originally in French by F. John Crasset. And put into English at the request of several persons of honour and quality, by a well-wisher to devotion."
A18734,1575,0,62,"Churchyard, Thomas, 1520?-1604.","The firste parte of Churchyardes chippes contayning twelue seuerall labours. Deuised and published, only by Thomas Churchyard Gentilman."
A00529,1637,0,62,"Fage, Mary.","Fames roule: or, The names of our dread soveraigne Lord King Charles, his royall Queen Mary, and his most hopefull posterity: together with, the names of the dukes, marquesses, earles, viscounts ... of his three renowned kingdomes, England, Scotland, and Ireland: anagrammatiz'd and expressed by acrosticke lines on their names. By Mistris Mary Fage, wife of Robert Fage the younger, gentleman"
A27862,1667,0,59,"Woodford, Samuel, 1636-1700.",A paraphrase upon the Psalms of David by Sam. Woodford.
A29623,1664,0,51,"Brome, Alexander, 1620-1666.",Songs and other poems by Alex. Brome ...
A29621,1662,0,47,"Brome, Alexander, 1620-1666.","Rump, or, An exact collection of the choycest poems and songs relating to the late times by the most eminent wits from anno 1639 to anno 1661."
A75932,1651,0,47,"Ogilby, John, 1600-1676.","The fables of Æsop paraphras'd in verse, and adorn'd with sculpture, by John Ogilby."
A44269,1665,0,44,Homer.,"Homer, his Odysses translated, adorn'd with sculpture, and illustrated with annotations by John Ogilby, Esq. ..."
A00977,1633,0,42,"Fletcher, Phineas, 1582-1650.","The purple island, or, The isle of man together with Piscatorie eclogs and other poeticall miscellanies / by P.F."
A33611,1658,0,38,"Cokain, Aston, Sir, 1608-1684.","A chain of golden poems embellished with wit, mirth, and eloquence : together with two most excellent comedies, (viz.) The obstinate lady, and Trappolin suppos'd a prince / written by Sr Aston Cokayn."
A85334,1656,0,37,"Goffe, Thomas, 1591-1629.","Three excellent tragœdies. Viz. The raging Turk, or, Bajazet the Second. The courageous Turk, or, Amurath the First. And The tragoedie of Orestes· / Written, by Tho. Goff, Master of Arts, and student of Christ-Church in Oxford; and acted by the students of the same house."
A55357,1657,0,35,"Poole, Josua, fl. 1632-1646.","The English Parnassus, or, A helpe to English poesie containing a collection of all rhyming monosyllables, the choicest epithets, and phrases : with some general forms upon all occasions, subjects, and theams, alphabeticaly digested : together with a short institution to English poesie, by way of a preface / by Joshua Poole."
A44646,1692,0,34,"Howard, Robert, Sir, 1626-1698.",Five new plays ... as they were acted by His Majesty's servants at the Theatre-Royal / written by the Honourable Sir Robert Howard.
A49328,1661,0,34,"Lower, William, Sir, 1600?-1662.","Three new playes, Viz. The noble ingratitude. A pastoral-tragi-comedy. The enchanted lovers. A pastoral. The amorous fantasme. A tragi-comedy. All written by Sir Wil. Lower Knight"
A35684,1653,0,34,"Denny, William, Sir, 1603 or 4-1676.","Pelecanicidium, or, The Christian adviser against self-murder together with a guide and the pilgrims passe to the land of the living : in three books."
A04807,1548,0,34,"Kethe, William, d. 1608?",A ballet declaringe the fal of the whore of babylone intytuled Tye thy mare tom boye w[ith] other and there vnto anexid a prologe to the reders
A32749,1687,0,32,"Chaucer, Geoffrey, d. 1400.","The works of our ancient, learned, & excellent English poet, Jeffrey Chaucer as they have lately been compar'd with the best manuscripts, and several things added, never before in print : to which is adjoyn'd The story of the siege of Thebes, by John Lidgate ... : together with The life of Chaucer, shewing his countrey, parentage, education, marriage, children, revenues, service, reward, friends, books, death : also a table, wherein the old and obscure words in Chaucer are explained, and such words ... that either are, by nature or derivation, Arabick, Greek, Latine, Italian, French, Dutch, or Saxon, mark'd with particular notes for the better understanding of their original."
A33354,1685,0,30,"Clark, William, advocate.","The grand tryal, or, Poetical exercitations upon the book of Job wherein suitable to each text of that sacred book, a modest explanation, and continuation of the several discourses contained in it, is attempted / by William Clark."
A03224,1600,0,30,"Heywood, Thomas, d. 1641.","The first and second partes of King Edward the Fourth Containing his mery pastime with the tanner of Tamworth, as also his loue to faire Mistrisse Shoare, her great promotion, fall and miserie, and lastly the lamentable death of both her and her husband. Likewise the besieging of London, by the bastard Falconbridge, and the valiant defence of the same by the Lord Maior and the citizens. As it hath diuers times beene publikely played by the Right Honorable the Earle of Derbie his seruants."
A58989,1661,0,29,W. N.,"The Second part of Merry drollery, or, A Collection of jovial poems, merry songs, witty drolleries, intermix'd with pleasant catches collected by W.N., C.B., R.S., J.G., lovers of wit."
A16273,1600,0,28,"Bodenham, John, fl. 1600, attrib. name.","Englands Helicon Casta placent superis, pura cum veste venite, et manibus puris sumite fontis aquam."
A62419,1685,0,28,"Thompson, Nathaniel, d. 1687.","A collection of 86 loyal poems all of them written upon the two late plots viz, the horrid Salamanca plot in 1687, and the present fanatical conspiracy in 1683 : to which is added, advice to the carver : written on the death of the late L. Stafford : with several poems on their majesties coronation, never before published / collected by N.T."
A34643,1689,0,28,"Cotton, Charles, 1630-1687.",Poems on several occasions written by Charles Cotton ...
A56797,1649,0,27,"Peaps, William.","Love in it's [sic] extasie, or, The large prerogative a kind of royall pastorall / written long since by a gentleman student at Aeton and now published."
A30841,1684,0,26,"Banks, John, d. 1706.","The island queens, or, The death of Mary, Queen of Scotland a tragedy : publish'd only in defence of the author and the play, against some mistaken censures, occasion'd by its being prohibited the stage / by Jo. Banks."
A50836,1696,0,26,"Milbourne, Luke, 1649-1720.","The Christian pattern paraphras'd, or, The book of the Imitation of Christ commonly ascrib'd to Thomas à Kempis ; made English by Luke Milbourn ..."
A18592,1611,0,25,"Chester, Robert, 1566-1640.","The anuals [sic] of great Brittaine. Or, A most excellent monument wherein may be seene all the antiquities of this kingdome, to the satisfac ion both of the vniuersities, or any other place stirred with emulation of long continuance. Excellently figured out in a worthy poem."
A36625,1700,0,25,"Dryden, John, 1631-1700.","Fables ancient and modern translated into verse from Homer, Ovid, Boccace, & Chaucer, with orginal poems, by Mr. Dryden."
A46609,1663,0,24,"James I, King of Scotland, 1394-1437.",Christ's kirk on the green composed (as is supposed) by King James the Fifth.
A35283,1681,0,24,"Crown, Mr. (John), 1640?-1712.","Henry the Sixth with the murder of Humphrey, Duke of Glocester : as it was acted at the Dukes Theatre / written by Mr. Crown."
A16274,1614,0,23,"Bodenham, John, fl. 1600.",Englands Helicon. Or The Muses harmony
A49947,1680,0,23,"Lee, Nathaniel, 1653?-1692.","Theodosius, or, The force of love a tragedy, acted by Their Royal Highnesses servants, at the Duke's Theatre / written by Nat. Lee ; with the musick betwixt the acts."
A65106,1649,0,23,Virgil.,The works of Publius Virgilius Maro translated by John Ogilby.
A49922,1680,0,23,"Lee, Nathaniel, 1653?-1692.","Cæsar Borgia, son of Pope Alexander the sixth a tragedy acted at the Duke's Theatre by their Royal Highnesses servants / written by Nat. Lee."
A57206,1650,0,23,"Rich, Jeremiah, d. 1660?","Mellificium musarum: the marrovv of the muses. Or, An epitome of divine poetrie Distilled into pious ejaculations, and solemne soliloquies. By Jeremiah Rich. Junii 19. 1650. Imprimatur, Joseph Caryl."
A10407,1632,0,23,"Randolph, Thomas, 1605-1635.","The jealous lovers A comedie presented to their gracious Majesties at Cambridge, by the students of Trinity-Colledge. Written by Thomas Randolph, Master of Arts, and fellow of the house."
A61943,1646,0,23,"Suckling, John, Sir, 1609-1642.","Fragmenta aurea A collection of all the incomparable peeces, written by Sir John Suckling. And published by a friend to perpetuate his memory. Printed by his owne copies."
A03512,1611,0,23,Homer.,The Iliads of Homer prince of poets· Neuer before in any languag truely translated. With a co[m]ment vppon some of his chiefe places; donne according to the Greeke by Geo: Chapman.
A50713,1661,0,22,W. N.,"Merry drollery, or A Collection of [brace] jovial poems, merry songs, witty drolleries intermix'd with pleasant catches The first part / collected by W.N., C.B., R.S., J.G., lovers of wit."
A30838,1696,0,22,"Banks, John, d. 1706.","Cyrus the Great, or, The tragedy of love as it is acted at the theatre in Little-Lincoln's-Inn-Fields, by His Majesty's servants / written by John Banks."
B06871,1648,0,22,"Wortley, Francis, Sir, 1591-1652.","A loyal song of the royal feast, kept by the prisoners in the Tower, in August 1648. with the names, titles, and characters of every prisoner. / By Sir F. Worley, knight and baronet, prisoner."
A70655,1673,0,22,S. M.,"The loyal garland containing choice songs and sonnets of our late unhappy revolutions, very delightful and profitable, both to this present, and future ages / published by S.N. a lover of mirth."
A52015,1658,0,21,"Mennes, John, Sir, 1599-1671.",Wit restor'd in several select poems not formerly publish't.
A87493,1660,0,21,"James V, King of Scotland, 1512-1542.","A ballad of a countrey vvedding, by King James the Fifth of Scotland."
A04489,1528,0,21,"Barlow, William, fl. 1527.","Rede me and be nott wrothe for I saye no thynge but trothe I will ascende makynge my state so hye, that my pompous honoure shall never dye. O caytyfe when thou thynkest least of all, with confusion thou shalt have a fall."
A03241,1637,0,21,"Heywood, Thomas, d. 1641.","Pleasant dialogues and dramma's, selected out of Lucian, Erasmus, Textor, Ovid, &c. With sundry emblems extracted from the most elegant Iacobus Catsius. As also certaine elegies, epitaphs, and epithalamions or nuptiall songs; anagrams and acrosticks; with divers speeches (upon severall occasions) spoken to their most excellent Majesties, King Charles, and Queene Mary. With other fancies translated from Beza, Bucanan, and sundry Italian poets. By Thomas Heywood"
A59320,1677,0,21,"Settle, Elkanah, 1648-1724.",Ibrahim the illustrious Bassa a tragedy : acted at the Duke's Theatre / written by Elkanah Settle ...
A69868,1690,0,20,"Dryden, John, 1631-1700.","Don Sebastian, King of Portugal a tragedy, acted at the Theatre Royal / written by Mr. Dryden."
A30851,1682,0,20,"Banks, John, d. 1706.","Vertue betray'd, or, Anna Bullen a tragedy : acted at His Royal Highness, the Duke's Theatre / written by John Banks."
A31023,1647,0,20,"Baron, Robert, b. 1630.","Mirza a tragedie, really acted in Persia, in the last age : illustrated with historicall annotations / the author, R.B., Esq."
A21144,1596,0,20,,The raigne of King Edvvard the third as it hath bin sundrie times plaied about the citie of London.
A16208,1578,0,20,"Blenerhasset, Thomas.","The seconde part of the Mirrour for magistrates conteining the falles of the infortunate princes of this lande, from the conquest of Cæsar, vnto the commyng of Duke William the Conquerour."
A65514,1671–1672,0,20,Person of quality.,"Westminster-drollery, or, A choice collection of the newest songs & poems both at court and theaters by a person of quality ; with additions."
A51044,1675,0,19,Author of Westminster drollery.,"Mock songs and joking poems, all novel consisting of mocks to several late songs about the town : with other new songs and ingenious poems much in use at court, and both theaters / by the author of Westminster drollery."
A29152,1692,0,19,"Brady, Nicholas, 1659-1726.","The rape, or, The innocent impostors a tragedy acted at the Theatre-Royal by Their Majesties servants."
A19881,1629,0,19,"D'Avenant, William, Sir, 1606-1668.","The tragedy of Albouine, King of the Lombards: by Wm. D'auenant"
A35654,1668,0,19,"Denham, John, Sir, 1615-1669.","Poems and translations with the Sophy / written by the Honourable Sir John Denham, Knight of the Bath."
A07241,1633,0,19,"Massinger, Philip, 1583-1640.","A new way to pay old debts a comoedie as it hath beene often acted at the Phænix in Drury-Lane, by the Queenes Maiesties seruants. The author. Philip Massinger."
A30789,1679,0,19,"Bancroft, John, d. 1696.","The tragedy of Sertorius acted at the Theatre-Royal by Their Majesties servants / by John Bancroft, Gent."
A53278,1684,0,19,"Oldham, John, 1653-1683.","The works of Mr. John Oldham, together with his Remains"
A07004,1590,0,19,"Marlowe, Christopher, 1564-1593.","Tamburlaine the Great Who, from a Scythian shephearde, by his rare and woonderfull conquests, became a most puissant and mightye monarque. And (for his tyranny, and terrour in warre) was tearmed, the scourge of God. Deuided into two tragicall discourses, as they were sundrie times shewed vpon stages in the citie of London. By the right honorable the Lord Admyrall, his seruauntes."
A04524,1541,0,19,"Barnes, satirist.","The treatyse answerynge the boke of berdes. Compyled by Collyn clowte, dedycatyd to Barnarde barber dwellynge in Banbery"
A35268,1679,0,19,"Crown, Mr. (John), 1640?-1712.","The ambitious statesman, or, The loyal favourite as it was acted at the Theatre Royal by His Majesties servants / written by Mr. Crowne."
A63158,1691,0,18,"Tate, Nahum, 1652-1715.","The Sicilian usurper a tragedy as it was acted at the Theatre-Royal : with prefatory epistle in vindication of the author, occasioned by this play on the stage / written by N. Tate."
A30840,1694,0,18,"Banks, John, d. 1706.","The innocent usurper, or, The death of the Lady Jane Gray a tragedy / written by J.B."
A44657,1696,0,18,"Howard, Robert, Sir, 1626-1698.",Poems on several occasions written by the Honoura ble Sir Robert Howard.
A36592,1692,0,18,"Dryden, John, 1631-1700.","All for love, or, The world well lost a tragedy, as it is acted at the Theatre-Royal, and written in imitation of Shakespeare's stile / written by Mr. Dryden."
A07246,1630,0,18,"Massinger, Philip, 1583-1640.","The renegado a tragæcomedie. As it hath beene often acted by the Queenes Maiesties seruants, at the priuate Play-house in Drurye-Lane. By Philip Massinger."
A07245,1630,0,18,"Massinger, Philip, 1583-1640.","The picture a tragæcomædie : as it was often presented with good allowance, at the Globe, and Blackefriers play-houses, by the Kings Maiesties seruants / written by Philip Massinger."
A53480,1669,0,18,"Orrery, Roger Boyle, Earl of, 1621-1679.",Two new tragedies ... both written by the Right Honourable the Earl of Orrery.
A51517,1688,0,18,"Mountfort, William, 1664?-1692.","The injur'd lovers, or, The ambitious father a tragedy acted by Their Majesty's servants at the Theatre Royal / by W. Mountfort ..."
A35657,1642,0,18,"Denham, John, Sir, 1615-1669.",The sophy.
A59312,1680,0,18,"Settle, Elkanah, 1648-1724.",The female prelate being the history of the life and death of Pope Joan : a tragedy: as it is acted at the Theatre Royal / written by Elkanah Settle ...
A49935,1677,0,18,"Lee, Nathaniel, 1653?-1692.","The rival queens, or, The death of Alexander the Great acted at the Theater-Royal by their majesties servants / by Nat. Lee ..."
A59496,1681,0,18,"Tate, Nahum, 1652-1715.","The history of King Richard the Second acted at the Theatre Royal under the name of The Sicilian usurper : with a prefatory epistle in vindication of the author, occasion'd by the prohibition of this play on the stage / by N. Tate."
A41366,1656,0,17,"Goffe, Thomas, 1591-1629.","The careles shepherdess a tragi-comedy acted before the King & Queen, and at Salisbury-Court, with great applause / written by T.G. ; with an alphebeticall catologue of all such plays that ever were printed."
A01775,1640,0,17,"Glapthorne, Henry.","The ladies priviledge As it was acted with good allowance at the Cock-pit in Drury-lane, and before their Majesties at White-Hall twice. By their Maiesties Servants. The author Henry Glapthorne."
A65112,1697,0,17,Virgil.,"The works of Virgil containing his Pastorals, Georgics and Aeneis : adorn'd with a hundred sculptures / translated into English verse by Mr. Dryden."
A07251,1632,0,17,"Massinger, Philip, 1583-1640.","The fatall dovvry a tragedy. As it hath beene often acted at the Priuate House in Blackefryers, by his Maiesties Seruants. Written by P.M. and N.F."
A04874,1638,0,17,"Kirke, John, d. 1643.","The seven champions of Christendome Acted at the Cocke-pit, and at the Red-Bull in St. Iohns streete, with a generall liking. And never printed till this yeare 1638. Written by I.K."
A35279,1688,0,17,"Crown, Mr. (John), 1640?-1712.",Darius King of Persia a tragedy as it is acted by Their Majesties servants / written by Mr. Crowne.
A06402,1639,0,17,"Lower, William, Sir, 1600?-1662.","The phaenix in her flames A tragedy. The scene, Arabia. The author, Master William Lower."
A52417,1687,0,17,"Norris, John, 1657-1711.","A collection of miscellanies consisting of poems, essays, discourses, and letters occasionally written / by John Norris ..."
A81112,1655,0,17,"Cudmore, Daniel, 17th cent.","Euchodia. Or, A prayer-song; being sacred poems on the history of the birth and passion of our blessed Saviour, and several other choice texts of Scripture. In two parts. / By Daniel Cudmore, Gent."
